rep_id,conference_total_01,conference_total_02,conference_total_03,conference_total_04,conference_total_05,conference_total_06,conference_total_07,conference_total_08,conference_total_09,conference_total_10,conference_total_11,conference_total_12,email_open_total_01,email_open_total_02,email_open_total_03,email_open_total_04,email_open_total_05,email_open_total_06,email_open_total_07,email_open_total_08,email_open_total_09,email_open_total_10,email_open_total_11,email_open_total_12,f2f_total_01,f2f_total_02,f2f_total_03,f2f_total_04,f2f_total_05,f2f_total_06,f2f_total_07,f2f_total_08,f2f_total_09,f2f_total_10,f2f_total_11,f2f_total_12,webinar_total_01,webinar_total_02,webinar_total_03,webinar_total_04,webinar_total_05,webinar_total_06,webinar_total_07,webinar_total_08,webinar_total_09,webinar_total_10,webinar_total_11,webinar_total_12,is_cardiologist,is_gp,years_since_graduation,gender_female,gender_male,hospital,office,prescription_total
105,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,3,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1.0,0.0,0.0,1.0,6
106,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,7,3,2,1,2,3,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1.0,0.0,0.0,1.0,3
107,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,2,2,3,0,2,2,1,3,1,2,2,4,3,5,5,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1.0,0.0,0.0,1.0,2
108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,3,1,0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,43,0.0,1.0,0.0,1.0,3
105,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1.0,0.0,0.0,1.0,7
109,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,2,2,1,1,1,0,1,1,1,1,2,6,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,1.0,0.0,0.0,1.0,8
110,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,3,0,1,3,0,1,1,1,5,3,5,6,5,4,2,4,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0.0,1.0,0.0,1.0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,1,2,3,0,0,1,3,5,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1.0,0.0,0.0,1.0,7
112,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0.0,1.0,0.0,1.0,2
102,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0.0,1.0,0.0,1.0,3
101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,2,0,0,1,0,2,4,3,2,2,4,4,5,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,29,0.0,1.0,0.0,1.0,1
113,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,37,1.0,0.0,0.0,1.0,3
112,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,0,1,0,0,1,2,5,5,4,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0.0,1.0,0.0,1.0,1
114,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,1,0,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1.0,0.0,0.0,1.0,1
115,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,4,1,2,4,0,2,0,2,3,0,0,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1.0,0.0,0.0,1.0,5
116,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0.0,1.0,0.0,1.0,5
105,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,1,0,2,1,2,1,1,0,3,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1.0,0.0,0.0,1.0,2
105,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1.0,0.0,0.0,1.0,12
113,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,1,1,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1.0,0.0,0.0,1.0,1
117,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,3,0,1,2,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1.0,0.0,0.0,1.0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0.0,1.0,0.0,1.0,2
118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,1,1,2,4,1,1,1,2,2,3,2,1,1,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1.0,0.0,0.0,1.0,1
118,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,2,1,3,0,1,2,0,1,1,1,2,4,4,4,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1.0,0.0,0.0,1.0,2
119,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,3,0,0,2,0,2,1,1,6,5,4,2,3,3,5,8,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1.0,0.0,0.0,1.0,14
120,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,3,0,2,2,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0.0,1.0,0.0,1.0,0
106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,4,3,0,0,0,2,2,1,2,3,4,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0,1.0,0.0,1.0,2
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,6,4,5,8,8,6,7,5,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1.0,0.0,0.0,1.0,13
122,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,2,1,1,2,2,1,0,2,1,2,2,3,2,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1.0,0.0,0.0,1.0,2
105,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,2,2,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.0,1.0,0.0,1.0,1
112,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,2,2,2,1,4,5,6,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1.0,0.0,0.0,1.0,2
112,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1.0,0.0,0.0,1.0,4
118,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,4,2,1,1,1,1,2,2,4,4,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1.0,0.0,0.0,1.0,0
101,0,0,1,0,0,0,0,1,0,0,0,0,1,2,3,2,0,0,1,2,1,2,0,0,2,3,6,7,6,4,3,4,4,4,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,42,1.0,0.0,0.0,1.0,4
100,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,1,2,2,1,3,2,1,2,2,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1.0,0.0,0.0,1.0,7
101,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,1,0,2,0,0,5,3,5,5,4,3,4,4,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1.0,0.0,0.0,1.0,4
123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,2,1,2,1,3,3,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,40,1.0,0.0,0.0,1.0,2
124,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,3,1,0,1,2,2,2,2,2,3,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1.0,0.0,0.0,1.0,1
125,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1.0,0.0,0.0,1.0,2
106,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,2,0,1,0,0,3,3,1,2,2,2,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,1.0,0.0,1.0,2
126,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,1,0,1,2,0,3,3,2,2,2,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0.0,1.0,0.0,1.0,1
126,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,1,0,1,4,4,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1.0,0.0,0.0,1.0,1
127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,0,0,0,2,5,3,2,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1.0,0.0,0.0,1.0,1
126,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,3,0,2,0,1,0,2,3,2,4,3,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,1.0,0.0,1.0,1
126,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,2,1,3,2,2,0,1,0,3,2,3,2,2,1,1,1,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.0,0.0,0.0,1.0,3
126,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,1,0,2,0,1,1,2,2,1,0,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1.0,0.0,0.0,1.0,2
126,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,3,3,0,0,0,0,1,3,0,2,2,3,2,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0.0,1.0,0.0,1.0,4
126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,0,1,2,4,4,2,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1.0,0.0,0.0,1.0,4
128,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,2,0,0,3,1,3,0,1,0,0,1,4,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0.0,1.0,0.0,1.0,7
126,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,2,0,1,1,2,0,2,0,2,2,2,2,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1.0,0.0,0.0,1.0,0
129,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,4,2,2,1,3,2,2,2,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1.0,0.0,0.0,1.0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,1,2,0,0,2,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0.0,1.0,0.0,1.0,3
107,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,2,1,1,0,0,1,0,2,4,5,7,5,5,4,5,4,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,30,1.0,0.0,1.0,0.0,2
131,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,1,1,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1.0,0.0,0.0,1.0,3
132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,1,0,1,3,9,13,17,14,13,11,11,12,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1.0,0.0,1.0,0.0,40
125,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,2,0,0,2,0,1,0,2,3,4,5,4,3,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1.0,0.0,0.0,1.0,7
133,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,3,0,1,1,1,0,0,4,1,1,2,2,2,2,2,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1.0,0.0,0.0,1.0,2
126,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,1,1,0,0,2,1,1,0,3,1,1,1,3,2,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1.0,0.0,0.0,1.0,2
127,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,2,0,0,2,1,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1.0,0.0,0.0,1.0,5
134,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,2,1,1,2,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0,1.0,1.0,0.0,3
135,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,1,0,0,0,1,1,1,0,0,5,7,8,8,6,8,7,8,13,18,18,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,19,1.0,0.0,0.0,1.0,0
134,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0.0,1.0,0.0,1.0,2
134,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,1.0,1.0,0.0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1.0,0.0,0.0,1.0,1
136,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,2,1,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1.0,0.0,1.0,0.0,27
102,0,0,1,0,0,1,0,0,0,0,0,0,2,2,1,0,2,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1.0,0.0,1.0,0.0,2
134,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1.0,0.0,0.0,1.0,8
137,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,0,3,3,2,2,1,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,1.0,0.0,1.0,4
112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,1,0,1,1,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1.0,0.0,1.0,0.0,5
134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,0,1,0,2,1,3,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1.0,0.0,0.0,1.0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,1,2,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1.0,0.0,0.0,1.0,4
102,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1.0,0.0,0.0,1.0,2
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1.0,0.0,1.0,0.0,2
134,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,1,3,2,1,0,0,0,0,1,3,3,4,2,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,26,1.0,0.0,0.0,1.0,10
138,0,0,0,1,0,1,0,1,0,1,0,0,2,1,1,1,0,1,1,1,0,1,0,0,5,6,5,5,4,4,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1.0,0.0,0.0,1.0,2
134,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,2,0,2,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.0,0.0,0.0,1.0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,2,0,1,1,2,0,3,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0.0,1.0,0.0,1.0,1
140,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,2,1,1,2,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,1.0,1.0,0.0,2
127,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,0,1,4,2,1,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1.0,0.0,0.0,1.0,2
134,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,3,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.0,0.0,1.0,0.0,0
134,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0.0,1.0,1.0,0.0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0.0,1.0,0.0,1.0,0
134,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,3,1,2,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1.0,0.0,1.0,0.0,2
134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,4,0,1,0,0,0,1,2,2,2,1,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1.0,0.0,0.0,1.0,3
102,0,0,0,2,1,1,0,0,0,0,1,0,0,0,2,0,1,1,2,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0.0,1.0,1.0,0.0,4
117,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,2,1,0,4,1,0,0,0,2,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1.0,0.0,0.0,1.0,7
141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1.0,0.0,1.0,0.0,3
117,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,1,3,0,0,0,0,0,0,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1.0,0.0,0.0,1.0,8
142,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,23,0.0,1.0,0.0,1.0,1
117,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1.0,0.0,0.0,1.0,2
113,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,1,40,0.0,1.0,0.0,1.0,5
117,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,2,0,2,1,3,0,0,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1.0,0.0,0.0,1.0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0.0,1.0,0.0,1.0,0
113,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,3,0,2,3,2,1,2,0,2,5,6,7,6,7,4,3,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,45,1.0,0.0,0.0,1.0,8
117,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,0,2,0,1,2,2,0,0,0,0,0,0,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1.0,0.0,0.0,1.0,2
105,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,3,0,1,1,0,0,0,0,1,1,1,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1.0,0.0,0.0,1.0,2
105,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,2,1,2,1,1,1,0,1,1,1,1,0,0,0,0,1,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.0,0.0,0.0,1.0,2
114,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,4,2,0,1,1,3,3,4,5,4,4,3,2,4,3,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,41,1.0,0.0,0.0,1.0,0
